country,popularity,is_explicit,danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,social_media_users,social_media_pct,Total,65+,25-64 years,15-24 years,5-14 years,0-4 years
Colombia,80.35625530601219,0.5024311183144247,0.7478270317203056,0.6749149224357489,-5.926862738288183,0.4051863857374392,0.12264285328393919,0.24826607247047927,0.020159047287180674,0.172172150189087,0.6023765759820946,119.55526225206452,36700000.0,0.6869365996825492,51516560,0.08719708769374353,0.531130106513323,0.1657130250932904,0.14471137047970595,0.07124837139746909
Costa Rica,83.6000535147739,0.47861320285921793,0.7183187683957036,0.6633800367493597,-6.075170176981002,0.5047972172317572,0.11374979549711402,0.28267440266044874,0.02400046462749895,0.17262663506746684,0.5843131145598409,120.93503015939758,3860000.0,0.7490854753102592,5153959,0.10530312716884244,0.5403556760928832,0.1488566362285769,0.1416406300476973,0.06384393046200018
Czechia,70.27770345170292,0.5010511830587516,0.6845960399067315,0.6720482015213486,-7.020639960246168,0.5162264439432743,0.12223586254348075,0.22161632483085508,0.025693117691602006,0.17536041053476548,0.4825460341730056,128.9954479951072,8050000.0,0.7587754024808656,10510748,0.20452559608507406,0.5435886199535942,0.09185625989701209,0.10764676310382477,0.05238276096049491
Denmark,68.95670261941449,0.3932588597842835,0.6938141756548537,0.6604567103235748,-6.38035373651772,0.5048921417565485,0.11993835516178737,0.18954747330508473,0.006070535149075501,0.1817986748844376,0.5571000539291218,123.92862180277349,4720000.0,0.7863377153890623,5854246,0.2026882710429319,0.5131104842536511,0.12255002608363229,0.10864780878698982,0.05300340983279486
Dominican Republic,71.98082139446036,0.6105826170009551,0.7254370926456543,0.6762374326647564,-6.505148538681949,0.5008978032473734,0.18882772874880613,0.26807206959694363,0.034134334078319006,0.18370399999999998,0.5834895774594079,122.95570017191977,7230000.0,0.6275769280847185,11117873,0.07168106705302354,0.4810000977704998,0.17372270757185299,0.18226354987145474,0.09133257773316893
Ecuador,83.46838814265864,0.5037054191755442,0.7487316465956462,0.6793678771383356,-6.127566967731975,0.46217384591631927,0.11722896402655551,0.2477548261926818,0.027284612087386133,0.1607035896248263,0.6065905585147444,119.54487127528176,12660000.0,0.6921853044576515,17797736,0.07642067507912242,0.4855517578190844,0.17705111481595187,0.17712140465506399,0.08385499144385555
Egypt,59.5994801421964,0.05596116356408394,0.6998807385038799,0.6846345323191009,-6.216082183402776,0.2942165819349413,0.08554913802989182,0.35490367566224534,0.00706413896334238,0.18210535529987387,0.6221326937043691,118.32888815412255,45400000.0,0.3835560887416995,109262184,0.047745466995241466,0.45128687890771063,0.1704579326366019,0.2173098974481418,0.11319978740311469
El Salvador,84.15652473052519,0.5145248834186988,0.7410393968351043,0.6838934255790841,-6.28739920495375,0.4483602171087837,0.10172653084626557,0.2562486313355248,0.028282450277119488,0.16723889610886017,0.5992622349208776,119.3937874015748,3900000.0,0.612677716,6314165,0.08150642246441137,0.4639859743924969,0.19689222565454023,0.17718684893410291,0.08042852855444861
Estonia,75.839975404481,0.34464471004188924,0.6610307443987549,0.6791319703316552,-6.675499750201761,0.5384112831943431,0.08480504208139579,0.1729298396910188,0.0390548547035087,0.1915911532992583,0.5095136927865954,127.8178124591676,1040000.0,0.7736771237065085,1328704,0.2037165538750542,0.5349724242570204,0.09661896103270555,0.11149812147777081,0.053193939357449066
Finland,62.41991590214067,0.2084862385321101,0.6798912461773701,0.6995032912844036,-5.846506383792049,0.41861620795107035,0.0677929510703364,0.18805821809250764,0.025949090902140672,0.17244573012232417,0.5873101070336392,126.87062316513762,4460000.0,0.7931243586984936,5535982,0.22891512291766844,0.5070836574251867,0.10971477147143903,0.11027564757255352,0.04401080061315228
France,75.62997935621989,0.5318831714962917,0.7049524046180901,0.6456083186787981,-6.73450554323725,0.3171878583989602,0.1365069844789357,0.30194752159951066,0.008385915758850065,0.1464181091826592,0.571609176160257,121.90271989448735,50700000.0,0.7606810420880169,64531450,0.21323257109517918,0.49542835315183525,0.11760527618703748,0.12092370464323984,0.05281007942638822
